Name,Location,Typical fee,Fee type
Natural Bridges National Monument,Utah,$10 ,per-person
Olympic National Park,Washington,$15 ,per-person
Organ Pipe Cactus National Monument,Arizona,$15 ,per-person
Padre Island National Seashore,Texas,$15 ,per-person
Perry's Victory and International Peace Memorial,Ohio,$10 ,per-person
Petrified Forest National Park,Arizona,$15 ,per-person
Pictured Rocks National Lakeshore,Michigan,$15 ,per-person
Pinnacles National Park,California,$15 ,per-person
Pipe Spring National Monument,Arizona,$10 ,per-person
Prince William Forest Park,Virginia,$10 ,per-person
Pu'uhonua O Honaunau National Historical Park,Hawaii,$10 ,per-person
Rio Grande Wild & Scenic River,Texas,$30 ,per-vehicle
Rocky Mountain National Park,Colorado,$15 ,per-person
Saguaro National Park,Arizona,$15 ,per-person
Saint-Gaudens National Historical Park,New Hampshire,$10 ,per-person
San Juan National Historic Site,Puerto Rico,$10 ,per-person
Sequoia National Park,California,$20 ,per-person
Shenandoah National Park,Virginia,$15 ,per-person
Sleeping Bear Dunes National Lakeshore,Michigan,$25 ,per-vehicle
Sunset Crater Volcano National Monument,Arizona,$15 ,per-person
Theodore Roosevelt National Park,North Dakota,$15 ,per-person
Thomas Edison National Historical Park,New Jersey,$15 ,per-person
Tonto National Monument,Arizona,$10 ,per-person
Tumacacori National Historical Park,Arizona,$10 ,per-person
Tuzigoot National Monument,Arizona,$10 ,per-person
Valles Caldera National Preserve,New Mexico,$15 ,per-person
Vanderbilt Mansion National Historic Site,New York,$15 ,per-person
Vicksburg National Military Park,Mississippi,$10 ,per-person
Vicksburg National Military Park,Louisiana,$10 ,per-person
Walnut Canyon National Monument,Arizona,$15 ,per-person
Whiskeytown National Recreation Area,California,$15 ,per-person
White Sands National Park,New Mexico,$15 ,per-person
Wright Brothers National Memorial,North Carolina,$10 ,per-person
Wupatki National Monument,Arizona,$15 ,per-person
Yellowstone National Park,Wyoming,$20 ,per-person
Yellowstone National Park,Idaho,$20 ,per-person
Yellowstone National Park,Montana,$20 ,per-person
Yosemite National Park,California,$20 ,per-person
Zion National Park,Utah,$20 ,per-person
